Amazon;Apple;Year
3790.92;51519.09;2022
3778.6;50437.38;2022
3423.84;50661.6;2022
3387.16;49367.79;2022
3214.68;49352.64;2022
3391.92;49352.64;2022
3427.76;49498.08;2022
3489.64;49567.77;2022
3437.56;49661.7;2022
3309.88;47831.58;2022
3185.28;48280.02;2022
3179.4;48579.99;2022
3097.64;47037.72;2022
3091.2;46871.07;2022
3058.16;45319.71;2022
3129;45722.7;2022
3235.12;46062.06;2022
3257.24;46440.81;2022
3201.24;45749.97;2022
3178;45137.91;2022
3067.68;43965.3;2022
2973.88;44892.48;2022
3049.76;44383.44;2022
3007.2;43492.62;2022
3170.16;43601.7;2022
3260.88;43307.79;2022
3148.32;43956.21;2022
3050.6;43750.17;2022
3043.04;42723;2022
2974.16;42316.98;2022
2902.48;41532.21;2022
3014.76;40871.67;2022
2864.68;41620.08;2022
2902.76;41086.8;2022
3070.2;42347.28;2022
3252.2;42347.28;2022
3393.04;41332.23;2022
3444;40459.59;2022
3494.12;40617.15;2022
3494.12;39326.37;2022
3425.8;38880.96;2022
3514.28;40483.83;2022
3407.04;39686.94;2022
3365.88;39423.33;2022
3224.2;40992.87;2022
3110.24;42641.19;2022
2989.84;44231.94;2022
2914.8;44453.13;2022
3011.68;43686.54;2022
3012.52;43459.29;2022
3004.96;45201.54;2022
2999.08;44453.13;2022
3230.36;44492.52;2022
3102.68;44731.89;2022
3165.68;42980.55;2022
2994.04;42004.89;2022
2950.36;41959.44;2022
3048.08;42780.57;2022
3046.12;41129.22;2022
3213.56;41059.53;2022
3259.48;42095.79;2022
3526.04;44613.72;2022
3479;43507.77;2022
3486;43977.42;2022
3479.84;42616.95;2022
4048.8;43792.59;2022
3868.76;46189.32;2022
3902.92;45456.06;2022
4089.96;45456.06;2022
4041.8;47016.51;2022
4152.4;46795.32;2022
4312;49555.65;2022
4427.36;47604.33;2022
4278.12;47149.83;2022
4247.88;47058.93;2022
4355.12;48846.63;2022
4222.12;46734.72;2022
4231.36;46804.41;2022
4324.88;48619.38;2022
4417.84;48295.17;2022
4445.28;49676.85;2022
4593.4;49916.22;2022
4713.8;49967.73;2022
4579.68;49273.86;2022
4564;49337.49;2022
4656.4;50864.61;2022
4740.96;50046.51;2022
4731.72;49476.87;2022
4613.56;50770.68;2022
4582.2;51382.74;2022
4575.48;51291.84;2022
4616.92;52255.38;2022
4521.72;53264.37;2022
4515;52031.16;2022
4402.72;52119.03;2022
4286.8;53064.39;2022
4126.36;53418.9;2022
3971.8;52415.97;2022
4074.56;52152.36;2022
4110.96;51958.44;2022
3899.84;50807.04;2022
3808.28;50391.93;2022
3848.6;49364.76;2022
4077.92;48946.62;2022
4141.2;47943.69;2022
4257.4;47637.66;2022
4231.92;46292.34;2022
4299.68;44959.14;2022
4306.12;46186.29;2022
4238.08;47316.48;2022
4055.24;48640.59;2022
4205.6;46995.3;2022
4272.8;47549.79;2022
4330.2;48704.22;2022
4426.8;49619.28;2022
4382.28;49716.24;2022
4344.76;48713.31;2022
4292.12;49289.01;2022
4452;49207.2;2022
4513.32;48576.96;2022
4519.48;47780.07;2022
4422.32;49049.64;2022
4413.92;49937.43;2022
3887.8;50410.11;2022
4217.08;51506.97;2022
4233.32;51576.66;2022
4187.96;50410.11;2022
4031.44;50337.39;2022
3909.92;51376.68;2022
3888.36;52618.98;2022
3919.72;52185.69;2022
4047.12;51240.33;2022
3993.92;51240.33;2022
4246.76;51458.49;2022
4376.4;51543.33;2022
4449.76;52422.03;2022
4539.92;52055.4;2022
4513.88;52103.88;2022
4625.88;50776.74;2022
4630.08;47464.95;2022
4521.72;47607.36;2022
4551.4;47631.6;2022
4571;48183.06;2022
4602.08;48416.37;2022
4690.56;49043.58;2022
4771.2;49555.65;2021
4668.16;50619.18;2021
4721.92;51594.84;2021
4737.6;51331.23;2021
4778.48;52328.1;2021
4750.76;52194.78;2021
4789.96;51331.23;2021
4789.12;51328.2;2021
4771.76;51276.69;2021
4678.24;52146.3;2021
4760.56;53570.4;2021
4728.36;54261.24;2021
4852.96;52937.13;2021
4734.52;53124.99;2021
4747.96;53476.47;2021
4821.88;53449.2;2021
4876.76;53758.26;2021
4932.48;52552.32;2021
4932.48;52361.43;2021
4798.36;51570.6;2021
4745.72;50604.03;2021
4812.36;51019.14;2021
4821.32;51352.44;2021
4909.8;53452.23;2021
4986.24;51970.56;2021
4906.44;52391.73;2021
5012.56;53497.68;2021
5012;52040.25;2021
5001.64;52194.78;2021
5147.24;51031.26;2021
5174.4;49285.98;2021
4968.6;48246.69;2021
4957.12;48819.36;2021
4963.84;49119.33;2021
4935.28;49279.92;2021
4861.64;47770.98;2021
4874.8;46746.84;2021
5006.68;48276.99;2021
4884.6;48119.43;2021
4926.6;48001.26;2021
4867.8;47861.88;2021
4737.6;47064.99;2021
4637.92;45759.06;2021
4645.48;45016.71;2021
4721.36;44716.74;2021
4825.24;44713.71;2021
4749.36;44083.47;2021
4726.4;44098.62;2021
4648.56;44959.14;2021
4669.84;44850.06;2021
4809;44850.06;2021
4781;45098.52;2021
4821.88;44937.93;2021
4825.52;45095.49;2021
4772.6;44659.17;2021
4619.72;44344.05;2021
4597.88;44592.51;2021
4546.36;45416.67;2021
4544.96;44310.72;2021
4604.04;44450.1;2021
4623.36;44247.09;2021
4566.8;44262.24;2021
4509.4;44498.58;2021
4465.72;44431.92;2021
4596.48;44283.45;2021
4599;43625.94;2021
4621.68;43116.9;2021
4642.4;42795.72;2021
4768.12;41947.32;2021
4795.84;42126.09;2021
4782.4;42510.9;2021
4732;42538.17;2021
4681.04;42656.34;2021
4698.12;42271.53;2021
4847.64;42004.89;2021
4883.48;41420.1;2021
4866.12;42465.45;2021
4830;42123.06;2021
4840.08;42516.96;2021
4856.88;42244.26;2021
4877.88;43274.46;2021
4935.56;43735.02;2021
4912.88;43707.75;2021
4869.2;43416.87;2021
4848.48;42695.73;2021
4870.6;42550.29;2021
4859.12;43480.5;2021
4790.24;44292.54;2021
4689.44;44362.23;2021
4642.4;44092.56;2021
4618.88;44519.79;2021
4628.12;44347.08;2021
4572.12;45865.11;2021
4480;46174.17;2021
4462.92;46643.82;2021
4481.68;45931.77;2021
4538.8;45737.85;2021
4618.6;45398.49;2021
4611.6;45198.51;2021
4625.04;45580.29;2021
4609.08;44234.97;2021
4648.84;43919.85;2021
4678.52;44165.28;2021
4683;44537.97;2021
4726.4;44565.24;2021
4696.72;44113.77;2021
4712.68;43671.39;2021
4663.96;43568.37;2021
4658.64;44707.65;2021
5040;44986.41;2021
5082.56;44383.44;2021
5076.96;44322.84;2021
5179.72;43419.9;2021
5119.24;43341.12;2021
5093.2;43489.59;2021
5019.28;43489.59;2021
5002.48;43504.74;2021
4969.44;43710.78;2021
5003.04;43677.45;2021
5083.68;43801.68;2021
5154.24;43253.25;2021
5148.36;43356.27;2021
5206.04;43289.61;2021
5207.16;43092.66;2021
5223.96;43625.94;2021
5175.24;44286.48;2021
5146.12;44156.19;2021
4915.4;43635.03;2021
4806.2;43216.89;2021
4816.28;43441.11;2021
4827.48;42341.22;2021
4821.32;43513.83;2021
4761.96;44134.98;2021
4828.6;44331.93;2021
4905.32;43289.61;2021
4907.56;42950.25;2021
4835.6;43132.05;2021
4881.8;42577.56;2021
4884.88;42971.46;2021
4781.28;42213.96;2021
4736.48;41601.9;2021
4737.32;40801.98;2021
4685.52;40708.05;2021
4689.44;40523.22;2021
4593.68;40062.66;2021
4569.88;39565.74;2021
4477.2;39653.61;2021
4488.68;39741.48;2021
4461.8;39823.29;2021
4527.6;39323.34;2021
4506.04;38777.94;2021
4512.2;39171.84;2021
4522.28;38684.01;2021
4571.28;38532.51;2021
4562.6;38784;2021
4543;37853.79;2021
4484.2;37484.13;2021
4546.64;37787.13;2021
4524.52;37671.99;2021
4525.08;37423.53;2021
4578.56;37420.5;2021
4512.2;36720.57;2021
4425.96;37172.04;2021
4412.8;36941.76;2021
4513.6;37038.72;2021
4466.56;37238.7;2021
4608.24;37705.32;2021
4628.96;37720.47;2021
4578.84;37778.04;2021
4636.52;37281.12;2021
4740.96;37841.67;2021
4854.36;37062.96;2021
4859.96;37111.44;2021
4842.04;37532.61;2021
4784.36;37884.09;2021
4772.6;37144.77;2021
4677.12;36490.29;2021
4632.6;37426.56;2021
4706.8;37705.32;2021
4668.44;37705.32;2021
4720.8;38702.19;2021
4759.16;38499.18;2021
4730.6;38011.35;2021
4666.2;37938.63;2021
4760;39329.4;2021
4731.16;39008.22;2021
4721.08;39608.16;2021
4618.88;39638.46;2021
4591.16;39877.83;2021
4513.32;39974.79;2021
4517.52;39856.62;2021
4425.4;39150.63;2021
4331.6;39614.22;2021
4277.28;39499.08;2021
4306.12;40011.15;2021
4272.8;39811.17;2021
4264.68;39911.16;2021
4321.8;39177.9;2021
4392.64;39889.95;2021
4355.12;38944.59;2021
4305;39465.75;2021
4239.2;38680.98;2021
4390.12;37950.75;2021
4328.52;37450.8;2021
4314.24;37359.9;2021
4325.16;36499.38;2021
4359.04;36244.86;2021
4280.64;35578.26;2021
4287.92;36020.64;2021
4132.8;35966.1;2021
4200.56;35784.3;2021
4168.64;35635.83;2021
4207;36363.03;2021
4332.44;36614.52;2021
4404.68;35605.53;2021
4330.2;35766.12;2021
4280.08;37020.54;2021
4423.44;37259.91;2021
4472.44;36793.29;2021
4453.12;35914.59;2021
4549.72;36190.32;2021
4659.48;35602.5;2021
4632.04;35932.77;2021
4576.6;34526.85;2021
4588.92;36029.73;2021
4567.08;35647.95;2021
4601.24;36220.62;2021
4627;37126.59;2021
4652.2;37920.45;2021
4693.08;35981.25;2021
4663.4;35902.47;2021
4637.64;37196.28;2021
4732;37347.78;2021
4679.92;37387.17;2021
4488.68;38535.54;2021
4532.64;38490.09;2021
4525.64;38823.39;2021
4656.68;39523.32;2021
4611.6;40168.71;2021
4609.08;40099.02;2021
4629.8;40174.77;2021
4568.76;40359.6;2021
4369.12;40626.24;2021
4345.88;40626.24;2021
4378.36;40580.79;2021
4432.12;40708.05;2021
4369.12;39683.91;2021
4359.88;39996;2021
4455.64;39744.51;2021
4427.08;39099.12;2021
4393.76;40617.15;2021
4506.04;42089.73;2021
4461.24;42416.97;2020
4559.8;42347.28;2020
4600.12;41204.97;2020
4650.8;40553.52;2020
4597.6;39120.33;2020
4441.64;37875;2020
4459.28;37668.96;2020
4489.24;38196.18;2020
4488.68;38780.97;2020
4482.24;38162.85;2020
4530.4;38214.36;2020
4537.4;39126.39;2020
4431.28;38790.06;2020
4419.8;37511.4;2020
4362.96;38817.33;2020
4341.96;38341.62;2020
4345.88;39314.25;2020
4448.08;39620.28;2020
4421.2;39959.64;2020
4427.64;40498.98;2020
4461.52;39102.15;2020
4485.04;38802.18;2020
4508;39074.88;2020
4435.2;37993.17;2020
4473.56;37529.58;2020
4459;38132.55;2020
4365.2;37868.94;2020
4337.76;37890.15;2020
4339.16;36081.24;2020
4363.8;36269.1;2020
4347.56;36514.53;2020
4389.84;36081.24;2020
4383.4;36853.89;2020
4380.32;36666.03;2020
4354.28;36220.62;2020
4392.36;36426.66;2020
4249;36466.05;2020
4401.32;36360;2020
4635.96;35272.23;2020
4650.8;34545.03;2020
4537.68;34378.38;2020
4267.76;34123.86;2020
4206.16;33732.99;2020
4250.68;34766.22;2020
4495.4;35151.03;2020
4427.92;34972.26;2020
4600.96;35375.25;2020
4489.8;35644.92;2020
4486.16;35335.86;2020
4446.96;35320.71;2020
4459;35402.52;2020
4503.8;34360.2;2020
4490.08;34463.22;2020
4581.92;34463.22;2020
4674.04;35166.18;2020
4709.32;35205.57;2020
4821.04;33999.63;2020
4820.2;32666.43;2020
4601.24;32172.54;2020
4466.84;32199.81;2020
4473.84;34108.71;2020
4340;32890.65;2020
4478.88;34487.46;2020
